"node","x","y","layer","MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII","maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p","best3","rules"
2,-2.04071648,6.89130538,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.12404982,6.80797204,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.87404988,6.97463872,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.7073832,6.97463872,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.54071652,6.97463872,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.7073832,7.47463876,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.87404988,5.22463858,1,7,65,13,2,22.11,80.4,90.55,22.11,541.7,6.64168674698795,29.98,26.22,25.12,21.43,4,0,2,0,3,5,22.459,29.352,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.20738316,6.97463872,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.37404984,6.97463872,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.95738322,6.80797204,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.87404988,6.80797204,1,5,73,14,5,62.83,107.21,193.01,62.83,672.81,8.22048192771084,31.03,26.97,23.38,19.19,7,12,0,0,2,5,20.633,30.144,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.62404986,7.39130542,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.45738318,7.39130542,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-3.04071656,6.97463872,1,5,73,14,5,66.16,110.44,197.58,66.16,671.13,8.19915662650602,31.21,26.49,23.46,19.35,7,19,0,0,2,4,20.744,30.231,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.12404982,7.39130542,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-3.04071656,7.47463876,1,4,60,8,5,77.98,115.96,198.45,77.98,610.88,7.38464285714286,30.86,26,23.53,19.31,7,20,0,0,3,4,20.693,30.321,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-3.04071656,5.80797196,1,5,65,15,6,28.73,87.09,120.75,28.73,650.12,8.16901234567901,30.53,26.15,24.66,20.5,6,8,0,0,2,5,21.526,29.921,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.04071648,7.39130542,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.12404982,7.05797206,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.37404984,7.30797208,1,5,60,9,5,60.07,96.51,182.33,60.07,588.47,7.21325301204819,30.62,26.58,23.15,19.53,7,17,0,0,3,4,20.578,30.175,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.20738316,6.7246387,1,5,73,15,6,50.55,92.63,173.77,50.55,667.58,8.26195121951219,30.61,26.73,23.25,19.26,7,9,0,0,2,5,20.626,29.991,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
2,-2.62404986,7.47463876,1,4,60,7,6,70.78,108.21,188.9,70.78,596.73,7.31313253012048,30.69,25.83,23.33,19.37,7,18,0,0,3,4,20.573,30.206,"PGA14011-13, PGA14008-15, SARI-Tiemeh","MLDS <= 7"
